study;year;country;center;matching;stars;robins;post2018;start;end;nexp;mexp;sexp;nctrl;mctrl;sctrl
Acar et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/5/2010;31/12/2014;59;1.54795;1.62094;74;2.04035;1.40174
Antonelli et al. 2022;2022;Italy;Multicenter studies;Studies without patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2013;31/12/2016;981;0.77079;0.69397;886;1.75015;1.2749
Audige et al. 2022;2022;France;Multicenter studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2007;31/12/2019;201;0.46771;1.09764;204;2.08141;1.31329
Banapour et al. 2018;2018;USA;Multicenter studies;Studies with patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/1/2007;31/12/2014;163;0.63077;0.64135;176;1.39381;1.43747
Boylu et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/1/2009;31/12/2013;46;1.26848;1.37969;20;2.78173;1.36775
Bravi et al. 2019;2019;Italy;Multicenter studies;Studies without patient matching;9;Low Risk of Bias;Studies published after 2018;1/1/2013;31/12/2016;789;0.74649;0.7759;682;1.82207;1.33191
Bravi et al. 2023;2023;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2004;31/12/2018;2404;1.1563;1.06394;1063;1.72629;1.64926
Chang et al. 2018;2018;Korea;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2006;31/12/2012;122;1.04816;0.87581;122;1.36;0.89812
Esen et al. 2013;2013;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/5/2010;30/6/2012;32;1.38219;1.15763;23;2.03108;0.95571
Ficarra et al. 2014;2014;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published before 2018;1/1/2009;31/1/2011;200;0.97538;0.7064;200;1.37802;1.2623
Gandi et al. 2022;2022;Italy;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2014;31/12/2019;71;1.30759;1.36943;71;2.06377;1.84782
Ghali et al. 2019;2019;USA;Single-center studies;Studies without patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/7/2008;30/6/2016;59;0.59956;0.3482;91;0.96983;0.63487
Ghavimi et al. 2021;2021;Canada;Multicenter studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2011;31/10/2018;284;1.28947;0.82569;746;2.1654;1.56914
Hoeh et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2003;31/1/2021;134;2.06544;1.78411;481;2.3843;2.49194
Ingels et al. 2022;2022;France;Multicenter studies;Studies without patient matching;8;Moderate Risk of Bias;Studies published after 2018;1/1/2014;30/6/2017;1409;2.29453;2.55204;560;3.70054;3.86466
Kara et al. 2016;2016;USA;Single-center studies;Studies without patient matching;6;Moderate Risk of Bias;Studies published before 2018;1/1/2011;31/1/2016;87;1.04728;0.95116;56;1.81032;1.47038
Klaassen et al. 2014;2014;USA;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published before 2018;1/8/2006;28/2/2012;35;0.82067;0.73014;23;2.35147;1.81519
Kowalewski et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;8;Moderate Risk of Bias;Studies published after 2018;1/1/2010;31/12/2018;23;2.55424;4.90472;150;2.36669;2.52215
Kowalewski et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;9;Low Risk of Bias;Studies published after 2018;1/1/2020;1/1/2022;25;1.21585;0.98024;25;3.43277;2.27376
Kumar et al. 2024;2024;India;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published after 2018;1/6/2015;28/2/2022;25;0.86191;0.42031;15;4.2646;1.66969
