r;pooled;pooled_lb;pooled_ub;published_after_2018;published_after_2018_lb;published_after_2018_ub;published_before_2018;published_before_2018_lb;published_before_2018_ub;with_matching;with_matching_lb;with_matching_ub;without_matching;without_matching_lb;without_matching_ub;single_center;single_center_lb;single_center_ub;multicenter;multicenter_lb;multicenter_ub;robins_low;robins_low_lb;robins_low_ub;robins_moderate;robins_moderate_lb;robins_moderate_ub;robins_serious;robins_serious_lb;robins_serious_ub
-0.99;-1.23;-1.575;-0.885;-1.008;-1.355;-0.661;-1.404;-1.988;-0.82;-1.542;-2.131;-0.953;-0.853;-1.157;-0.549;-1.321;-1.826;-0.815;-1.108;-1.432;-0.784;-1.428;-2.156;-0.7;-0.853;-1.094;-0.611;-1.53;-2.619;-0.441
-0.9;-1.212;-1.552;-0.873;-0.993;-1.331;-0.655;-1.383;-1.959;-0.807;-1.523;-2.104;-0.942;-0.833;-1.126;-0.541;-1.304;-1.801;-0.806;-1.087;-1.404;-0.77;-1.411;-2.128;-0.693;-0.839;-1.074;-0.604;-1.502;-2.569;-0.435
-0.8;-1.193;-1.526;-0.859;-0.975;-1.303;-0.647;-1.359;-1.926;-0.793;-1.501;-2.074;-0.929;-0.811;-1.091;-0.531;-1.285;-1.773;-0.796;-1.064;-1.373;-0.754;-1.392;-2.099;-0.685;-0.824;-1.053;-0.595;-1.47;-2.513;-0.427
-0.7;-1.173;-1.501;-0.845;-0.958;-1.277;-0.639;-1.336;-1.894;-0.778;-1.48;-2.044;-0.916;-0.789;-1.056;-0.522;-1.266;-1.746;-0.786;-1.04;-1.343;-0.738;-1.373;-2.069;-0.676;-0.81;-1.033;-0.587;-1.439;-2.459;-0.419
-0.6;-1.154;-1.477;-0.831;-0.941;-1.25;-0.631;-1.313;-1.863;-0.764;-1.459;-2.015;-0.903;-0.767;-1.021;-0.512;-1.248;-1.719;-0.776;-1.017;-1.312;-0.721;-1.354;-2.04;-0.667;-0.795;-1.012;-0.578;-1.408;-2.406;-0.411
-0.5;-1.135;-1.453;-0.818;-0.923;-1.224;-0.623;-1.29;-1.832;-0.749;-1.438;-1.986;-0.89;-0.745;-0.987;-0.502;-1.229;-1.693;-0.766;-0.994;-1.282;-0.705;-1.335;-2.012;-0.658;-0.781;-0.992;-0.569;-1.378;-2.354;-0.401
-0.4;-1.116;-1.429;-0.804;-0.907;-1.199;-0.615;-1.267;-1.801;-0.734;-1.417;-1.958;-0.876;-0.723;-0.954;-0.493;-1.211;-1.667;-0.756;-0.97;-1.253;-0.688;-1.316;-1.984;-0.649;-0.767;-0.973;-0.561;-1.348;-2.303;-0.392
-0.3;-1.098;-1.406;-0.79;-0.89;-1.173;-0.607;-1.245;-1.771;-0.718;-1.396;-1.929;-0.863;-0.702;-0.921;-0.483;-1.193;-1.641;-0.745;-0.947;-1.224;-0.67;-1.298;-1.956;-0.639;-0.753;-0.954;-0.552;-1.317;-2.253;-0.382
-0.2;-1.079;-1.383;-0.776;-0.873;-1.148;-0.598;-1.222;-1.741;-0.703;-1.375;-1.902;-0.849;-0.681;-0.888;-0.473;-1.175;-1.616;-0.735;-0.924;-1.195;-0.653;-1.279;-1.929;-0.629;-0.739;-0.935;-0.542;-1.288;-2.205;-0.372
-0.1;-1.061;-1.36;-0.762;-0.857;-1.125;-0.59;-1.199;-1.711;-0.687;-1.354;-1.874;-0.835;-0.66;-0.857;-0.464;-1.157;-1.591;-0.724;-0.901;-1.166;-0.635;-1.26;-1.902;-0.618;-0.725;-0.917;-0.533;-1.259;-2.157;-0.361
