level;country;percentage
studies;USA;23.81
studies;Italy;19.05
studies;Japan;14.29
studies;Korea;11.11
studies;France;9.52
studies;Germany;6.35
studies;Turkey;6.35
studies;China;3.16
studies;Australia;1.59
studies;Canada;1.59
studies;Lebanon;1.59
studies;Thailand;1.59
patients;Italy;47.27
patients;France;12.9
patients;USA;11.56
patients;Japan;7.17
patients;Korea;7.01
patients;Germany;5.38
patients;Canada;4.04
patients;China;2.06
patients;Turkey;1.46
patients;Australia;0.78
patients;Thailand;0.23
patients;Lebanon;0.14
