study;year;country;center;matching;stars;robins;post2018;start;end;nexp;mexp;sexp;nctrl;mctrl;sctrl
Abedali et al. 2020;2020;USA;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/11/2008;31/7/2016;148;226.5;65.4;74;220.5;74.8
Abedali et al. 2020;2020;USA;Multicenter studies;Studies without patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/1/2004;31/12/2016;11;236;72.2;12;191.8;54
Acar et al. 2014;2014;Turkey;Single-center studies;Studies without patient matching;5;Serious Risk of Bias;Studies published before 2018;1/5/2010;31/12/2014;53;143.02;48.2;64;103.7;33
Acar et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/5/2010;31/12/2014;59;143.7;46.5;74;101.01;32.1
Alemozaffar et al. 2013;2013;USA;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/11/2008;30/9/2010;25;231.8;44.2;25;238.3;119.5
Antonelli et al. 2022;2022;Italy;Multicenter studies;Studies without patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2013;31/12/2016;981;150;59.259;886;130;48.148
Audige et al. 2022;2022;France;Multicenter studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2007;31/12/2019;201;143;39.4;204;149;42.4
Baghli et al. 2023;2023;France;Multicenter studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2008;31/12/2019;174;143;39.3;139;149;42.5
Banapour et al. 2018;2018;USA;Multicenter studies;Studies with patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/1/2007;31/12/2014;163;224;48.889;176;244;89.63
Benichou et al. 2022;2022;France;Multicenter studies;Studies without patient matching;6;Serious Risk of Bias;Studies published after 2018;1/1/1988;31/12/2020;82;173.9;83;68;159.7;63
Borghesi et al. 2018;2018;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2011;31/12/2015;52;174;59.259;52;120;29.63
Boylu et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/1/2009;31/12/2013;46;225;58;20;152;18
Bravi et al. 2019;2019;Italy;Multicenter studies;Studies without patient matching;9;Low Risk of Bias;Studies published after 2018;1/1/2013;31/12/2016;789;150;51.852;682;122;40.741
Bravi et al. 2023;2023;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2004;31/12/2018;2404;150;59.259;1063;120;46.667
Chang et al. 2018;2018;Korea;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2006;31/12/2012;122;182.5;68.6;122;172.5;64
Esen et al. 2013;2013;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/5/2010;30/6/2012;32;154.3;55.3;23;126.09;33.51
Ficarra et al. 2014;2014;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published before 2018;1/1/2009;31/1/2011;200;120;49.63;200;127;51.852
Gandi et al. 2022;2022;Italy;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2014;31/12/2019;71;149.8;41.1;71;173.9;51.8
Garisto et al. 2018;2018;USA;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published after 2018;1/1/2006;31/12/2016;203;208;68.148;76;213.5;48.889
Garisto et al. 2018;2018;USA;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2006;31/12/2017;51;215;40;102;202;45.185
