study;year;country;center;matching;stars;robins;post2018;start;end;nexp;mexp;sexp;nctrl;mctrl;sctrl;r
Abedali et al. 2020;2020;USA;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/11/2008;31/7/2016;148;1.007;0.961;74;1.864;1.51;0
Abedali et al. 2020;2020;USA;Multicenter studies;Studies without patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/1/2004;31/12/2016;11;0.992;0.725;12;2.504;1.978;0
Acar et al. 2014;2014;Turkey;Single-center studies;Studies without patient matching;5;Serious Risk of Bias;Studies published before 2018;1/5/2010;31/12/2014;53;1.409;1.128;64;1.958;1.342;0
Acar et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/5/2010;31/12/2014;59;1.546;1.619;74;2.04;1.402;0
Alemozaffar et al. 2013;2013;USA;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/11/2008;30/9/2010;25;0.796;0.899;25;1.446;0.919;0
Antonelli et al. 2022;2022;Italy;Multicenter studies;Studies without patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2013;31/12/2016;981;0.771;0.694;886;1.749;1.274;0
Audige et al. 2022;2022;France;Multicenter studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2007;31/12/2019;201;0.467;1.097;204;2.082;1.314;0
Baghli et al. 2023;2023;France;Multicenter studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2008;31/12/2019;174;0.466;1.097;139;2.09;1.328;0
Banapour et al. 2018;2018;USA;Multicenter studies;Studies with patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/1/2007;31/12/2014;163;0.631;0.642;176;1.395;1.439;0
Benichou et al. 2022;2022;France;Multicenter studies;Studies without patient matching;6;Serious Risk of Bias;Studies published after 2018;1/1/1988;31/12/2020;82;2.323;2.654;68;3.69;4.832;0
Borghesi et al. 2018;2018;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2011;31/12/2015;52;0.641;0.274;52;2.21;1.337;0
Boylu et al. 2015;2015;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/1/2009;31/12/2013;46;1.27;1.381;20;2.782;1.368;0
Bravi et al. 2019;2019;Italy;Multicenter studies;Studies without patient matching;9;Low Risk of Bias;Studies published after 2018;1/1/2013;31/12/2016;789;0.746;0.776;682;1.822;1.332;0
Bravi et al. 2023;2023;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2004;31/12/2018;2404;1.156;1.064;1063;1.727;1.65;0
Chang et al. 2018;2018;Korea;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2006;31/12/2012;122;1.049;0.876;122;1.361;0.9;0
Esen et al. 2013;2013;Turkey;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/5/2010;30/6/2012;32;1.383;1.158;23;2.03;0.954;0
Ficarra et al. 2014;2014;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published before 2018;1/1/2009;31/1/2011;200;0.976;0.707;200;1.378;1.262;0
Gandi et al. 2022;2022;Italy;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2014;31/12/2019;71;1.307;1.369;71;2.062;1.846;0
Garisto et al. 2018;2018;USA;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published after 2018;1/1/2006;31/12/2016;203;1.065;0.944;76;1.479;1.089;0
Garisto et al. 2018;2018;USA;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2006;31/12/2017;51;0.481;0.524;102;1.352;0.621;0
Ghali et al. 2019;2019;USA;Single-center studies;Studies without patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/7/2008;30/6/2016;59;0.599;0.348;91;0.969;0.634;0
Ghavimi et al. 2021;2021;Canada;Multicenter studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2011;31/10/2018;284;1.289;0.824;746;2.165;1.569;0
Hori et al. 2023;2023;Japan;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/1/2007;30/10/2020;77;0.038;0.108;43;1.157;1.547;0
Ingels et al. 2022;2022;France;Multicenter studies;Studies without patient matching;8;Moderate Risk of Bias;Studies published after 2018;1/1/2014;30/6/2017;1409;2.294;2.552;560;3.7;3.864;0
Kara et al. 2016;2016;USA;Single-center studies;Studies without patient matching;6;Moderate Risk of Bias;Studies published before 2018;1/1/2011;31/1/2016;87;1.046;0.95;56;1.811;1.471;0
Kim et al. 2012;2012;Korea;Single-center studies;Studies without patient matching;5;Serious Risk of Bias;Studies published before 2018;1/4/2009;30/6/2011;67;1.605;1.311;83;3.132;2.325;0
Kim et al. 2019;2019;Korea;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/6/2003;31/3/2017;85;1.541;1.119;64;1.582;1.15;0
Klaassen et al. 2014;2014;USA;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published before 2018;1/8/2006;28/2/2012;35;0.82;0.729;23;2.355;1.82;0
Kowalewski et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;8;Moderate Risk of Bias;Studies published after 2018;1/1/2010;31/12/2018;23;2.545;4.9;150;2.364;2.52;0
Kowalewski et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;9;Low Risk of Bias;Studies published after 2018;1/1/2020;1/1/2022;25;1.216;0.98;25;3.439;2.283;0
Larcher et al. 2020;2020;Italy;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;31/12/2018;31/12/2019;2405;1.156;1.064;1063;1.727;1.65;0
