title;author;center;matched;post_2018;robins;D1;D2;D3;D4;D5;D6;D7;conf_1;conf_2;conf_3;conf_7;conf_8;conf_4;conf_5;conf_6;pt_sel_1;pt_sel_3;pt_sel_3r;pt_sel_4;pt_sel_4r;pt_sel_2;pt_sel_2fu;pt_sel_2p;pt_sel_5;pt_sel_5c;class_1;class_1ex;class_2;class_3;assign_1;assign_2;assign_2s;assign_2b;assign_3;assign_3se;assign_4;assign_5;assign_5ub;assign_6;assign_7;assign_8;mis_1;mis_2;mis_3;mis_4;mis_4sl;mis_4s;mis_4cr;mis_5;meas_1;meas_1m;meas_2;meas_3;meas_4;meas_4m;meas_4s;sel_1;sel_2;sel_3;sel_3r;sel_4;sel_5
Robotic and open partial nephrectomy for intermediate and high complexity tumors: A matched-pairs comparison of surgical outcomes at a single institution;Abedali et al. 2020;single;1;1;Low;Low;Low;Low;Low;Low;Low;Low;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0
Robotic and open partial nephrectomy for tumors in a solitary kidney;Abedali et al. 2020;multi;0;1;Moderate;Moderate;Low;Moderate;Low;Low;Low;Moderate;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0
Open versus robotic nephron-sparing surgery: 4 year results and determinants of decision making;Acar et al. 2014;single;0;0;Serious;Serious;Low;Serious;Low;Low;Serious;Low;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0
Comparison of the Trifecta outcomes of robotic and open nephron-sparing surgeries performed in the robotic era of a single institution;Acar et al. 2015;single;0;0;Moderate;Moderate;Moderate;Moderate;Low;Low;Low;Low;1;0;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0
Comparing costs of robotic, laparoscopic, and open partial nephrectomy;Alemozaffar et al. 2013;single;0;0;Moderate;Moderate;Low;Moderate;Low;Low;Low;Moderate;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0
Prediction of significant renal function decline after open, laparoscopic, and robotic partial nephrectomy: External validation of the Martini's nomogram on the RECORD2 project cohort;Antonelli et al. 2022;multi;0;1;Low;Low;Low;Low;Low;Low;Low;Low;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0
Clinical and oncological outcomes of open partial nephrectomy versus robot assisted partial nephrectomy over 15 years;Audige et al. 2022;multi;0;1;Moderate;Moderate;Low;Low;Low;Low;Low;Moderate;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0
Cost-effectiveness of robotic-assisted surgery vs. open surgery in the context of partial nephrectomy for small kidney tumors;Baghli et al. 2023;multi;0;1;Moderate;Moderate;Moderate;Low;Low;Moderate;Low;Low;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0
Nephrometry score matched robotic vs. laparoscopic vs. open partial nephrectomy;Banapour et al. 2018;multi;1;1;Moderate;Low;Low;Moderate;Low;Low;Low;Moderate;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0
Partial nephrectomy in solitary kidneys: Comparison between open surgery and robotic-assisted laparoscopy on perioperative and functional outcomes (UroCCR-54 study);Benichou et al. 2022;multi;0;1;Serious;Low;Moderate;Serious;Low;Low;Serious;Low;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0
Retroperitoneal robot-assisted versus open partial nephrectomy for cT1 renal tumors: A matched-pair comparison of perioperative and early oncological outcomes;Borghesi et al. 2018;multi;1;1;Low;Low;Low;Low;Low;Low;Low;Low;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0
Comparison of surgical outcomes of open, laparoscopic, and robotic partial nephrectomy;Boylu et al. 2015;single;0;0;Moderate;Moderate;Moderate;Moderate;Low;Low;Low;Moderate;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0
Perioperative outcomes of open, laparoscopic, and robotic partial nephrectomy: A prospective multicenter observational study (The RECORd 2 Project);Bravi et al. 2019;multi;0;1;Low;Low;Low;Low;Low;Low;Low;Low;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0
The IRON study: Investigation of robot-assisted versus open nephron-sparing surgery;Bravi et al. 2023;multi;1;1;Low;Low;Low;Low;Low;Low;Low;Low;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0
Functional and oncologic outcomes of open, laparoscopic and robotic partial nephrectomy: A multicenter comparative matched-pair analysis with a median 5 years follow up;Chang et al. 2018;multi;1;1;Low;Low;Low;Low;Low;Low;Low;Low;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0
Morphometric profile of the localised renal tumors managed either by open or robot-assisted nephron-sparing surgery: The impact of scoring systems on the decision making process;Esen et al. 2013;single;0;0;Moderate;Moderate;Moderate;Moderate;Low;Low;Low;Moderate;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0
A multicentre matched-pair analysis comparing robot-assisted versus open partial nephrectomy;Ficarra et al. 2014;multi;1;0;Low;Low;Low;Low;Low;Low;Low;Low;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0
Purely off-clamp partial nephrectomy: Robotic approach better than open using a Pentafecta outcome with propensity score matching;Gandi et al. 2022;single;1;1;Low;Low;Low;Low;Low;Low;Low;Low;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0
