r;pooled;pooled_lb;pooled_ub;published_after_2018;published_after_2018_lb;published_after_2018_ub;published_before_2018;published_before_2018_lb;published_before_2018_ub;with_matching;with_matching_lb;with_matching_ub;without_matching;without_matching_lb;without_matching_ub;single_center;single_center_lb;single_center_ub;multicenter;multicenter_lb;multicenter_ub;robins_low;robins_low_lb;robins_low_ub;robins_moderate;robins_moderate_lb;robins_moderate_ub;robins_serious;robins_serious_lb;robins_serious_ub
-0.99;-1.152;-1.392;-0.912;-1.25;-1.633;-0.866;-1.029;-1.323;-0.735;-0.861;-1.097;-0.625;-1.374;-1.76;-0.988;-1.193;-1.549;-0.837;-1.12;-1.396;-0.845;-0.865;-1.066;-0.664;-1.453;-2.002;-0.904;-1.088;-1.587;-0.588
-0.9;-1.133;-1.368;-0.897;-1.231;-1.608;-0.853;-1.007;-1.292;-0.723;-0.844;-1.072;-0.615;-1.351;-1.731;-0.972;-1.173;-1.522;-0.825;-1.1;-1.37;-0.831;-0.852;-1.048;-0.655;-1.43;-1.971;-0.89;-1.062;-1.543;-0.582
-0.8;-1.112;-1.342;-0.881;-1.21;-1.58;-0.839;-0.984;-1.258;-0.709;-0.825;-1.044;-0.605;-1.327;-1.699;-0.955;-1.152;-1.493;-0.811;-1.078;-1.341;-0.815;-0.837;-1.029;-0.645;-1.406;-1.937;-0.874;-1.035;-1.495;-0.575
-0.7;-1.091;-1.316;-0.865;-1.189;-1.554;-0.825;-0.96;-1.225;-0.695;-0.806;-1.017;-0.595;-1.303;-1.668;-0.938;-1.131;-1.465;-0.797;-1.056;-1.313;-0.799;-0.823;-1.01;-0.635;-1.381;-1.904;-0.857;-1.007;-1.447;-0.568
-0.6;-1.07;-1.291;-0.849;-1.169;-1.527;-0.811;-0.938;-1.194;-0.682;-0.788;-0.99;-0.585;-1.279;-1.638;-0.921;-1.111;-1.438;-0.783;-1.034;-1.285;-0.783;-0.808;-0.991;-0.625;-1.356;-1.872;-0.84;-0.98;-1.4;-0.561
-0.5;-1.05;-1.267;-0.833;-1.149;-1.501;-0.797;-0.915;-1.163;-0.668;-0.77;-0.965;-0.575;-1.256;-1.609;-0.903;-1.09;-1.411;-0.769;-1.012;-1.257;-0.767;-0.794;-0.973;-0.615;-1.331;-1.84;-0.823;-0.954;-1.354;-0.553
-0.4;-1.03;-1.243;-0.817;-1.129;-1.475;-0.782;-0.893;-1.133;-0.654;-0.752;-0.94;-0.565;-1.233;-1.58;-0.886;-1.07;-1.385;-0.756;-0.99;-1.23;-0.751;-0.78;-0.955;-0.605;-1.307;-1.809;-0.805;-0.927;-1.308;-0.546
-0.3;-1.01;-1.22;-0.801;-1.109;-1.45;-0.768;-0.872;-1.104;-0.64;-0.735;-0.915;-0.555;-1.21;-1.551;-0.868;-1.051;-1.36;-0.742;-0.969;-1.203;-0.734;-0.767;-0.938;-0.595;-1.283;-1.779;-0.787;-0.902;-1.264;-0.539
-0.2;-0.991;-1.197;-0.785;-1.089;-1.425;-0.753;-0.851;-1.076;-0.626;-0.718;-0.892;-0.545;-1.187;-1.523;-0.85;-1.032;-1.335;-0.728;-0.947;-1.176;-0.717;-0.753;-0.921;-0.585;-1.259;-1.749;-0.768;-0.877;-1.221;-0.533
-0.1;-0.972;-1.175;-0.769;-1.069;-1.4;-0.738;-0.831;-1.05;-0.612;-0.702;-0.869;-0.535;-1.164;-1.496;-0.832;-1.012;-1.311;-0.713;-0.926;-1.15;-0.701;-0.74;-0.904;-0.575;-1.235;-1.72;-0.75;-0.852;-1.179;-0.526
0;-0.953;-1.153;-0.753;-1.049;-1.376;-0.723;-0.811;-1.024;-0.598;-0.686;-0.847;-0.525;-1.141;-1.47;-0.813;-0.994;-1.288;-0.699;-0.904;-1.124;-0.683;-0.726;-0.888;-0.564;-1.211;-1.692;-0.73;-0.828;-1.137;-0.519
0.1;-0.935;-1.132;-0.737;-1.03;-1.352;-0.708;-0.792;-1;-0.583;-0.67;-0.826;-0.515;-1.119;-1.444;-0.795;-0.975;-1.266;-0.684;-0.883;-1.099;-0.666;-0.713;-0.872;-0.554;-1.187;-1.665;-0.71;-0.806;-1.098;-0.513
0.2;-0.916;-1.111;-0.721;-1.01;-1.328;-0.692;-0.773;-0.978;-0.569;-0.655;-0.806;-0.505;-1.097;-1.418;-0.775;-0.956;-1.243;-0.669;-0.861;-1.074;-0.648;-0.7;-0.856;-0.544;-1.163;-1.638;-0.689;-0.783;-1.06;-0.506
0.3;-0.898;-1.091;-0.704;-0.99;-1.305;-0.676;-0.755;-0.957;-0.554;-0.641;-0.787;-0.495;-1.074;-1.393;-0.756;-0.938;-1.222;-0.654;-0.84;-1.049;-0.63;-0.687;-0.841;-0.533;-1.14;-1.612;-0.668;-0.762;-1.023;-0.5
0.4;-0.879;-1.071;-0.687;-0.971;-1.282;-0.66;-0.738;-0.938;-0.539;-0.627;-0.77;-0.485;-1.052;-1.368;-0.736;-0.919;-1.201;-0.638;-0.818;-1.025;-0.612;-0.674;-0.827;-0.522;-1.116;-1.586;-0.646;-0.741;-0.989;-0.493
0.5;-0.861;-1.052;-0.67;-0.951;-1.259;-0.643;-0.722;-0.92;-0.524;-0.614;-0.754;-0.475;-1.03;-1.344;-0.715;-0.901;-1.18;-0.622;-0.797;-1.001;-0.593;-0.662;-0.813;-0.511;-1.093;-1.561;-0.624;-0.721;-0.956;-0.487
0.6;-0.843;-1.032;-0.653;-0.931;-1.236;-0.625;-0.706;-0.905;-0.508;-0.601;-0.738;-0.464;-1.007;-1.32;-0.694;-0.882;-1.159;-0.605;-0.775;-0.977;-0.574;-0.649;-0.799;-0.5;-1.069;-1.537;-0.602;-0.702;-0.925;-0.48
0.7;-0.824;-1.013;-0.635;-0.91;-1.213;-0.608;-0.691;-0.891;-0.492;-0.589;-0.724;-0.454;-0.984;-1.296;-0.672;-0.863;-1.139;-0.588;-0.754;-0.954;-0.554;-0.637;-0.787;-0.488;-1.046;-1.513;-0.578;-0.685;-0.896;-0.473
0.8;-0.805;-0.994;-0.616;-0.889;-1.19;-0.589;-0.677;-0.879;-0.475;-0.577;-0.712;-0.443;-0.961;-1.272;-0.649;-0.844;-1.119;-0.57;-0.732;-0.931;-0.534;-0.626;-0.775;-0.476;-1.022;-1.49;-0.554;-0.668;-0.87;-0.466
0.9;-0.786;-0.975;-0.597;-0.868;-1.167;-0.57;-0.663;-0.869;-0.456;-0.566;-0.7;-0.431;-0.937;-1.248;-0.626;-0.825;-1.099;-0.551;-0.711;-0.909;-0.513;-0.614;-0.763;-0.465;-0.998;-1.467;-0.529;-0.653;-0.846;-0.459
0.99;-0.768;-0.957;-0.579;-0.849;-1.146;-0.552;-0.65;-0.861;-0.439;-0.556;-0.691;-0.42;-0.915;-1.227;-0.604;-0.807;-1.081;-0.533;-0.691;-0.889;-0.494;-0.604;-0.754;-0.454;-0.977;-1.447;-0.506;-0.641;-0.829;-0.454
