study;year;center;matching;stars;post2015;nexp;mexp;sexp;nctrl;mctrl;sctrl;r
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;1,007;0,961;74;1,864;1,51;0
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,631;0,642;176;1,395;1,439;0
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,746;0,776;682;1,822;1,332;0
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;1,065;0,944;76;1,479;1,089;0
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,599;0,348;91;0,969;0,634;0
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,541;1,119;64;1,582;1,15;0
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,82;0,729;23;2,355;1,82;0
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,555;0,409;54;1,878;1,608;0
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;1,177;1,277;56;1,429;0,901;0
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;2,387;2,654;80;4,206;5,285;0
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,209;0,712;37;1,845;4,124;0
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,404;1,028;100;1,803;1,245;0
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,489;0,588;190;1,754;0,679;0
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,456;0,336;94;1,169;0,81;0
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,041;0,172;58;0,715;0,683;0
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,27;1,381;20;2,782;1,368;0
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;1,049;0,876;122;1,361;0,9;0
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;2,545;4,9;166;2,364;2,52;0
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,248;1,312;73;2,211;2,613;0
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;1,095;0,593;133;1,642;1,201;0
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,761;0,677;198;2,098;1,813;0
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,89;0,691;19;1,372;0,828;0
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,419;1,21;42;3,379;3,149;0
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,363;0,765;55;5,727;2,599;0
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,827;0,801;198;2,098;1,813;0
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,796;0,899;25;1,446;0,919;0
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,98;0,934;74;1,816;1,457;0,1
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,618;0,629;176;1,345;1,395;0,1
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,721;0,753;682;1,782;1,281;0,1
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;1,036;0,914;76;1,455;1,058;0,1
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,59;0,333;91;0,954;0,612;0,1
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,502;1,072;64;1,543;1,102;0,1
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,804;0,712;23;2,318;1,773;0,1
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,546;0,397;54;1,829;1,556;0,1
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;1,141;1,246;56;1,404;0,864;0,1
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;2,314;2,592;80;4,09;5,196;0,1
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,193;0,707;37;1,732;4,076;0,1
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,363;0,981;100;1,769;1,2;0,1
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,477;0,558;190;1,74;0,644;0,1
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,449;0,327;94;1,15;0,784;0,1
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,037;0,172;58;0,702;0,67;0,1
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,236;1,351;20;2,766;1,336;0,1
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;1,018;0,844;122;1,332;0,86;0,1
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;2,413;4,836;166;2,287;2,454;0,1
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,215;1,282;73;2,109;2,538;0,1
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;1,078;0,564;133;1,606;1,155;0,1
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,739;0,655;198;2,039;1,751;0,1
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,871;0,668;19;1,35;0,795;0,1
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,395;1,183;42;3,274;3,047;0,1
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,344;0,757;55;5,66;2,466;0,1
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,801;0,777;198;2,039;1,751;0,1
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,779;0,885;25;1,411;0,873;0,1
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,954;0,908;74;1,769;1,401;0,2
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,604;0,616;176;1,295;1,35;0,2
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,695;0,73;682;1,741;1,228;0,2
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;1,006;0,883;76;1,431;1,026;0,2
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,581;0,317;91;0,938;0,588;0,2
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,463;1,022;64;1,504;1,052;0,2
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,789;0,695;23;2,28;1,724;0,2
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,537;0,385;54;1,78;1,501;0,2
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;1,105;1,214;56;1,379;0,825;0,2
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;2,242;2,529;80;3,974;5,105;0,2
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,177;0,703;37;1,619;4,029;0,2
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,323;0,932;100;1,736;1,153;0,2
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,465;0,527;190;1,726;0,607;0,2
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,442;0,318;94;1,13;0,756;0,2
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,033;0,171;58;0,689;0,657;0,2
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,201;1,32;20;2,75;1,303;0,2
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,988;0,81;122;1,303;0,819;0,2
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;2,282;4,771;166;2,21;2,385;0,2
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,183;1,252;73;2,007;2,461;0,2
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;1,061;0,534;133;1,57;1,108;0,2
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,718;0,632;198;1,98;1,687;0,2
