r;md;lb;ub;type;subgroup
-0,99;-0,83;-0,89;-0,76;fixed;pooled
-0,9;-0,81;-0,88;-0,75;fixed;pooled
-0,8;-0,8;-0,87;-0,74;fixed;pooled
-0,7;-0,79;-0,85;-0,73;fixed;pooled
-0,6;-0,77;-0,84;-0,71;fixed;pooled
-0,5;-0,76;-0,82;-0,7;fixed;pooled
-0,4;-0,75;-0,81;-0,69;fixed;pooled
-0,3;-0,73;-0,79;-0,68;fixed;pooled
-0,2;-0,72;-0,78;-0,67;fixed;pooled
-0,1;-0,71;-0,76;-0,65;fixed;pooled
0;-0,69;-0,74;-0,64;fixed;pooled
0,1;0,68;-0,73;-0,63;fixed;pooled
0,2;-0,66;-0,71;-0,62;fixed;pooled
0,3;-0,65;-0,69;-0,6;fixed;pooled
0,4;-0,63;-0,68;-0,59;fixed;pooled
0,5;-0,62;-0,66;-0,58;fixed;pooled
0,6;-0,6;-0,64;-0,56;fixed;pooled
0,7;-0,58;-0,61;-0,54;fixed;pooled
0,8;-0,55;-0,58;-0,52;fixed;pooled
0,9;-0,51;-0,54;-0,49;fixed;pooled
0,99;-0,39;-0,4;-0,37;fixed;pooled
-0,99;-1,07;-1,51;-0,62;random;pooled
-0,9;-1,05;-1,47;-0,61;random;pooled
-0,8;-1,04;-1,47;-0,61;random;pooled
-0,7;-1,02;-1,45;-0,6;random;pooled
-0,6;-1,01;-1,43;-0,59;random;pooled
-0,5;-0,99;-1,4;-0,58;random;pooled
-0,4;-0,98;-1,38;-0,57;random;pooled
-0,3;-0,96;-1,36;-0,56;random;pooled
-0,2;-0,95;-1,35;-0,55;random;pooled
-0,1;-0,93;-1,33;-0,54;random;pooled
0;-0,92;-1,31;-0,53;random;pooled
0,1;-0,91;-1,3;-0,52;random;pooled
0,2;-0,89;-1,28;-0,51;random;pooled
0,3;-0,88;-1,27;-0,49;random;pooled
0,4;-0,87;-1,25;-0,48;random;pooled
0,5;-0,86;-1,24;-0,47;random;pooled
0,6;-0,85;-1,23;-0,46;random;pooled
0,7;-0,84;-1,22;-0,45;random;pooled
0,8;-0,83;-1,21;-0,44;random;pooled
0,9;-0,82;-1,2;-0,43;random;pooled
0,99;-0,81;-1,19;-0,43;random;pooled
-0,99;-0,76;-0,83;-0,68;fixed;after 2015
-0,9;-0,74;-0,82;-0,67;fixed;after 2015
-0,8;-0,73;-0,8;-0,66;fixed;after 2015
-0,7;-0,72;-0,79;-0,65;fixed;after 2015
-0,6;-0,71;-0,78;-0,64;fixed;after 2015
-0,5;-0,7;-0,77;-0,63;fixed;after 2015
-0,4;-0,69;-0,75;-0,62;fixed;after 2015
-0,3;-0,68;-0,74;-0,61;fixed;after 2015
-0,2;-0,66;-0,73;-0,6;fixed;after 2015
-0,1;-0,65;-0,71;-0,59;fixed;after 2015
0;-0,64;-0,7;-0,58;fixed;after 2015
0,1;-0,63;-0,68;-0,57;fixed;after 2015
0,2;-0,62;-0,67;-0,56;fixed;after 2015
0,3;-0,6;-0,65;-0,55;fixed;after 2015
0,4;-0,59;-0,64;-0,54;fixed;after 2015
0,5;-0,57;-0,62;-0,53;fixed;after 2015
0,6;-0,56;-0,6;-0,52;fixed;after 2015
0,7;-0,54;-0,58;-0,5;fixed;after 2015
0,8;-0,52;-0,55;-0,48;fixed;after 2015
0,9;-0,48;-0,51;-0,45;fixed;after 2015
0,99;-0,37;-0,39;-0,36;fixed;after 2015
-0,99;-1,01;-1,62;-0,4;random;after 2015
-0,9;-0,99;-1,6;-0,39;random;after 2015
-0,8;-0,98;-1,58;-0,39;random;after 2015
-0,7;-0,97;-1,56;-0,38;random;after 2015
-0,6;-0,96;-1,54;-0,38;random;after 2015
-0,5;-0,94;-1,52;-0,37;random;after 2015
-0,4;-0,93;-1,5;-0,37;random;after 2015
-0,3;-0,92;-1,48;-0,36;random;after 2015
-0,2;-0,91;-1,47;-0,35;random;after 2015
-0,1;-0,9;-1,45;-0,35;random;after 2015
0;-0,89;-1,44;-0,34;random;after 2015
0,1;-0,88;-1,43;-0,34;random;after 2015
0,2;-0,87;-1,42;-0,33;random;after 2015
0,3;-0,86;-1,41;-0,32;random;after 2015
0,4;-0,86;-1,4;-0,32;random;after 2015
0,5;-0,85;-1,39;-0,31;random;after 2015
0,6;-0,84;-1,38;-0,3;random;after 2015
0,7;-0,84;-1,37;-0,3;random;after 2015
0,8;-0,83;-1,37;-0,29;random;after 2015
0,9;-0,82;-1,36;-0,28;random;after 2015
0,99;-0,81;-1,34;-0,29;random;after 2015
-0,99;-1,12;-1,27;-0,97;fixed;before 2015
-0,9;-1,11;-1,25;-0,96;fixed;before 2015
-0,8;-1,08;-1,23;-0,94;fixed;before 2015
-0,7;-1,06;-1,21;-0,92;fixed;before 2015
-0,6;-1,04;-1,18;-0,91;fixed;before 2015
-0,5;-1,02;-1,16;-0,89;fixed;before 2015
-0,4;-1;-1,13;-0,87;fixed;before 2015
-0,3;-0,98;-1,11;-0,85;fixed;before 2015
